age,gender,yearDriving,drivingFrequency,temp_length,temp_decisiontime,temp_decision_made,temp_correct_decision,temp_danger,temp_difficulty,CarPlacedLeft,CarPlacedRight,numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,Y
26,1,20,1,12,4.80219,4,2,20,89,1,0,32,441.043605809981,352.958168099471,1404.20115368134,32,338.234375,150.13902075888,874.5,0,5,3,24,0,0.733954586063295,3.81814865886965,0.169226639644421,0.641218883191699
26,1,20,1,6,4.91667,1,2,10,99,0,0,16,438.235767758215,407.423519998366,1341.92609707092,16,331.1875,259.331632920732,1014,2,2,1,9,2,0.62362155874859,3.74357542890312,0.17841185896792,0.35486846430549
26,1,20,1,1,2.21716,2,2,99,99,0,1,3,134.665553143718,40.900833668087,180.28234799891,3,234,28.0223125384041,259.5,0,0,0,3,0,0.205836171831834,3.32685670644837,0.0798276259765525,0.561224659375846
26,1,20,1,3,2.63056,1,2,9,79,0,0,7,304.512095827042,304.615954787105,787.998510468135,7,396.214285714286,126.844017446251,636,0,1,0,6,0,0.0205047571312331,3.64346803878878,0.0340049932414473,0.422067147790211
26,1,20,1,9,2.42632,1,2,9,96,0,0,23,380.870270765178,308.996408112912,1083.61127370474,23,350.391304347826,196.492942073208,807,5,4,1,13,0,0.632357356936577,3.6695444218066,0.19669858364756,0.533333333333333
26,1,20,1,6,3.88081,2,23,78,89,0,0,16,450.406592801833,408.789854209577,1216.43843452926,16,241.09375,92.4680519152426,402.5,3,3,1,8,1,0.814951817645074,3.48693757430724,0.167025100975505,0.426239510400986
26,1,20,1,3,2.7977,4,4,70,90,1,2,4,230.589566566108,316.805760502877,705.319218510314,4,703.5,778.437002375058,1869.5,0,0,0,4,0,0.618061191939587,3.48523442783238,0.194193387369881,0.332667997394521
26,1,20,1,6,3.05447,1,1,22,90,0,0,17,512.783221577889,450.534753990981,1337.58089101183,17,249.176470588235,148.430533118239,655,6,3,2,6,0,0.492465013671132,3.51286155491203,0.158018501875516,0.208823272580891
26,1,20,1,1,3.36608,4,23,100,97,0,0,1,275.498567808739,237.405675192601,664.434383467071,1,1036,0,1036,0,0,0,1,0,0.396315330861351,3.23519136323925,0.116911293229056,0.434732545833423
26,1,20,1,1,3.47777,1,1,39,95,0,1,2,921.338989293393,388.218606091541,1195.85099824351,2,436.75,174.301821562484,560,0,1,0,1,0,0.271533703663366,3.16993205885468,0.0808042415674037,0.459439807541522
26,1,20,1,9,3.2753,3,3,97,89,0,0,16,390.501818563831,322.757934338151,1228.35617188176,16,513.5625,514.233924558334,2215.5,4,1,2,9,0,0.758941994493103,3.45089710440543,0.201755658352216,0.508839859945744
26,1,20,1,20,2.83332,1,1,8,79,0,0,43,312.281479029724,280.499241797861,1114.20894023518,43,406.023255813953,491.683913581542,3180.5,7,8,1,26,1,0.489985335494241,3.51318236355709,0.144424560399453,0.252674797725018
26,1,20,1,3,3.84499,1,1,20,92,1,0,9,281.602926722359,230.445752144788,689.331331799157,9,281.388888888889,255.603547727944,856,0,2,0,7,0,0.397963804296562,3.45926278123164,0.114318725387251,0.311984674918495
26,1,20,1,1,3.01697,2,2,95,89,0,0,1,81.2080045315731,0,81.2080045315731,1,555,0,555,0,0,0,1,0,0.110642731776058,3.18120360316747,0.0371924417205161,0.740557506919205
26,1,20,1,9,3.34704,2,4,91,94,0,0,19,350.836033918861,354.865047414553,1221.90530831976,19,398.657894736842,313.266528899362,1157.5,3,3,1,12,0,0.402912042684537,3.38140466211054,0.117202602175222,0.452205889204208
26,1,20,1,3,1.47943,4,3,88,89,1,0,5,336.214399410819,340.710637177691,728.965654197782,5,437.8,488.472568318836,1292.5,0,2,0,3,0,0.332328341395578,3.41060821547033,0.0984694621196312,0.387988254165643
26,1,20,1,6,3.64539,4,2,73,88,1,0,18,326.887551242319,252.465719183744,737.472279140037,18,279.472222222222,115.579546356385,524,2,3,2,11,0,0.190941970314727,3.36301534132399,0.0688774229781694,0.440158033825965
26,1,20,1,12,2.36369,1,1,26,85,0,1,26,251.668359988855,272.563539461427,813.943445516947,26,436.5,330.445275348279,1377,2,3,1,20,0,0.124570281432325,3.17379887897174,0.100006223175187,0.383772415899715
26,1,20,1,9,3.10251,1,1,22,82,0,0,21,367.561488462572,302.437327903051,935.70678767443,21,392.47619047619,225.11738472353,945,0,5,0,16,0,-0.05676866724755,3.29165150522048,0.104028415594436,0.548904042240416
26,1,20,1,20,2.32449,1,1,17,79,0,1,27,443.991292729454,336.61937709729,1323.24591913219,27,686.666666666667,711.652599993089,3278.5,6,3,3,13,2,0.218780611193041,3.5979696747789,0.160636206431553,0.27560680360358
26,1,20,1,12,2.36009,1,1,18,88,0,0,25,318.085328049043,274.241806471217,942.048524493298,25,444.86,469.099037162374,2201.5,3,2,2,18,0,0.121808454828081,3.32894568022123,0.0758005169047371,0.169330179432519
26,1,20,1,3,2.5358,2,2,90,89,0,0,8,465.57727162943,411.794181537464,1093.73110612252,8,247.6875,114.895896202979,480.5,0,1,2,5,0,0.541919641534196,3.30595086380125,0.141735010153344,0.469511557044586
26,1,20,1,6,1.96216,1,1,15,88,0,0,7,372.938651919462,310.114300388169,650.837569981943,7,720.285714285714,758.252313830015,2390,1,1,0,5,0,0.0787811470566284,3.10032743958479,0.0910690795970772,0.566904848550479
26,1,20,1,3,3.48009,4,23,91,87,1,0,6,268.471665173626,211.403327785256,591.786559918355,6,472.083333333333,601.625250190404,1642,0,0,0,6,0,0.201222830233531,3.52100954784183,0.0623986251924214,0.235364975185808
26,1,20,1,3,2.49903,1,1,12,92,1,0,9,320.412828151582,257.505067547986,689.388216101784,9,289.888888888889,161.342372336318,588.5,1,2,1,5,0,0.45757987782299,3.27746649065206,0.17008750868804,0.400817189844683
26,1,20,1,1,2.51754,4,3,90,90,1,0,2,263.323430372226,311.930700691686,483.891744091589,2,420.75,181.372889374349,549,0,0,0,2,0,0.129304741268899,3.42929753421602,0.0548003202677276,0.434572562603222
26,1,20,1,6,2.42741,4,3,81,92,1,0,17,296.61797364566,286.565505281495,801.364667301972,17,312.823529411765,214.007443005529,761,0,6,0,11,0,0.00544004861491221,3.09201205032111,0.0849495255464792,0.491223263920462
26,1,20,1,1,2.37237,4,4,90,92,2,1,1,104.255935082853,0,104.255935082853,1,146,0,146,0,0,0,1,0,0.228565122926187,3.15729050557436,0.0905344977472438,0.37433106235159
26,1,20,1,9,2.076,1,1,12,84,1,1,26,331.145130384321,379.051706799562,1315.19302195533,26,301.057692307692,204.946350390685,776.5,7,2,3,14,0,-0.38858387593056,3.17857653028922,0.150834240067753,0.413885102295973
26,1,20,1,9,1.3613,4,23,92,93,1,1,25,417.670580565369,294.171062638638,929.042804449827,25,323.54,257.483370013159,1255,2,3,1,19,0,-0.0392929981336674,3.21638976100667,0.10672461989595,0.527632093132206
26,1,20,1,6,2.71223,4,4,81,89,2,1,14,104.809719321798,76.957427441612,249.66622218474,14,322.357142857143,221.757787875683,730,0,0,0,14,0,0.169164771316381,2.99290748432845,0.074205558785354,0.256338349508943
