numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,SA
32,441.0436058,352.9581681,1404.201154,32,338.234375,150.1390208,874.5,0,5,3,24,0,0.733954586,3.818148659,0.16922664,0.641218883
16,438.2357678,407.42352,1341.926097,16,331.1875,259.3316329,1014,2,2,1,9,2,0.623621559,3.743575429,0.178411859,0.354868464
3,134.6655531,40.90083367,180.282348,3,234,28.02231254,259.5,0,0,0,3,0,0.205836172,3.326856706,0.079827626,0.561224659
7,304.5120958,304.6159548,787.9985105,7,396.2142857,126.8440174,636,0,1,0,6,0,0.020504757,3.643468039,0.034004993,0.422067148
23,380.8702708,308.9964081,1083.611274,23,350.3913043,196.4929421,807,5,4,1,13,0,0.632357357,3.669544422,0.196698584,0.533333333
16,450.4065928,408.7898542,1216.438435,16,241.09375,92.46805192,402.5,3,3,1,8,1,0.814951818,3.486937574,0.167025101,0.42623951
4,230.5895666,316.8057605,705.3192185,4,703.5,778.4370024,1869.5,0,0,0,4,0,0.618061192,3.485234428,0.194193387,0.332667997
17,512.7832216,450.534754,1337.580891,17,249.1764706,148.4305331,655,6,3,2,6,0,0.492465014,3.512861555,0.158018502,0.208823273
1,275.0464603,237.8456252,666.6020252,1,1036,0,1036,0,0,0,1,0,0.396315331,3.235191363,0.116911293,0.434732546
2,921.3389893,388.2186061,1195.850998,2,436.75,174.3018216,560,0,1,0,1,0,0.271533704,3.169932059,0.080804242,0.459439808
16,390.5018186,322.7579343,1228.356172,16,513.5625,514.2339246,2215.5,4,1,2,9,0,0.758941994,3.450897104,0.201755658,0.50883986
43,312.281479,280.4992418,1114.20894,43,406.0232558,491.6839136,3180.5,7,8,1,26,1,0.489985335,3.513182364,0.14442456,0.252674798
9,281.6029267,230.4457521,689.3313318,9,281.3888889,255.6035477,856,0,2,0,7,0,0.397963804,3.459262781,0.114318725,0.311984675
1,81.20800453,0,81.20800453,1,555,0,555,0,0,0,1,0,0.110642732,3.181203603,0.037192442,0.740557507
19,350.8360339,354.8650474,1221.905308,19,398.6578947,313.2665289,1157.5,3,3,1,12,0,0.402912043,3.381404662,0.117202602,0.452205889
5,336.2143994,340.7106372,728.9656542,5,437.8,488.4725683,1292.5,0,2,0,3,0,0.332328341,3.410608215,0.098469462,0.387988254
18,326.8875512,252.4657192,737.4722791,18,279.4722222,115.5795464,524,2,3,2,11,0,0.19094197,3.363015341,0.068877423,0.440158034
26,251.66836,272.5635395,813.9434455,26,436.5,330.4452753,1377,2,3,1,20,0,0.124570281,3.173798879,0.100006223,0.383772416
21,367.5614885,302.4373279,935.7067877,21,392.4761905,225.1173847,945,0,5,0,16,0,-0.056768667,3.291651505,0.104028416,0.548904042
27,443.9912927,336.6193771,1323.245919,27,686.6666667,711.6526,3278.5,6,3,3,13,2,0.218780611,3.597969675,0.160636206,0.275606804
25,318.085328,274.2418065,942.0485245,25,444.86,469.0990372,2201.5,3,2,2,18,0,0.121808455,3.32894568,0.075800517,0.169330179
8,465.5772716,411.7941815,1093.731106,8,247.6875,114.8958962,480.5,0,1,2,5,0,0.541919642,3.305950864,0.14173501,0.469511557
7,372.9386519,310.1143004,650.83757,7,720.2857143,758.2523138,2390,1,1,0,5,0,0.078781147,3.10032744,0.09106908,0.566904849
6,268.4716652,211.4033278,591.7865599,6,472.0833333,601.6252502,1642,0,0,0,6,0,0.20122283,3.521009548,0.062398625,0.235364975
9,320.4128282,257.5050675,689.3882161,9,289.8888889,161.3423723,588.5,1,2,1,5,0,0.457579878,3.277466491,0.170087509,0.40081719
2,263.3234304,311.9307007,483.8917441,2,420.75,181.3728894,549,0,0,0,2,0,0.129304741,3.429297534,0.05480032,0.434572563
17,296.6179736,286.5655053,801.3646673,17,312.8235294,214.007443,761,0,6,0,11,0,0.005440049,3.09201205,0.084949526,0.491223264
1,104.2559351,0,104.2559351,1,146,0,146,0,0,0,1,0,0.228565123,3.157290506,0.090534498,0.374331062
26,331.1451304,379.0517068,1315.193022,26,301.0576923,204.9463504,776.5,7,2,3,14,0,-0.388583876,3.17857653,0.15083424,0.413885102
25,417.6705806,294.1710626,929.0428044,25,323.54,257.48337,1255,2,3,1,19,0,-0.039292998,3.216389761,0.10672462,0.527632093
14,104.8097193,76.95742744,249.6662222,14,322.3571429,221.7577879,730,0,0,0,14,0,0.169164771,2.992907484,0.074205559,0.25633835
4,379.0168693,381.204436,773.5809621,4,212.125,92.20934063,349.5,0,0,0,4,0,0.170231857,3.419901693,0.060719877,0.495489134
12,149.3195755,243.9486929,685.7635343,12,570,909.7476923,3218,0,3,0,9,0,0.292466978,3.063139387,0.171225848,0.391097613
1,278.107061,239.8719916,668.5540853,1,1033,0,1033,0,0,0,1,0,0.362361,3.58169226,0.124083674,0.483868613
